date,number 1,number 2,number 3,number 4,number 5,number 6,number 7
14/3/2023,11,12,13,20,35,43,44
9/3/2023,1,4,7,14,31,37,11
7/3/2023,4,11,12,26,37,40,7
4/3/2023,1,9,15,26,42,44,25
2/3/2023,14,17,19,32,39,46,36
28/2/2023,8,13,29,33,40,42,3
25/2/2023,14,25,27,28,44,47,4
23/2/2023,8,16,32,42,47,48,35
21/2/2023,8,19,29,30,33,41,4
18/2/2023,4,12,20,28,34,49,43
16/2/2023,8,9,13,22,38,39,11
14/2/2023,3,13,19,32,33,39,24
11/2/2023,13,18,22,29,34,41,23
9/2/2023,1,9,13,27,29,40,20
7/2/2023,4,11,13,14,30,37,20
4/2/2023,14,18,25,29,31,42,6
2/2/2023,2,8,23,33,34,35,43
28/1/2023,2,12,16,38,45,46,14
26/1/2023,2,3,23,31,32,43,40
19/1/2023,17,25,27,29,36,49,23
17/1/2023,10,15,29,34,38,47,18
14/1/2023,3,5,16,26,35,38,9
12/1/2023,6,22,26,27,40,45,13
10/1/2023,2,21,24,29,35,47,18
7/1/2023,10,31,33,34,43,49,40
5/1/2023,5,9,19,34,36,49,23
3/1/2023,7,20,25,27,35,43,1
29/12/2022,1,2,21,33,41,45,4
27/12/2022,5,13,18,32,39,45,44
25/12/2022,2,7,11,14,18,39,29
22/12/2022,16,18,19,33,41,46,37
20/12/2022,28,36,37,38,41,45,42
17/12/2022,6,14,15,26,5,40,8
15/12/2022,5,7,18,26,31,45,30
13/12/2022,12,38,39,40,45,49,10
10/12/2022,6,12,20,25,39,49,7
8/12/2022,17,19,35,39,44,46,21
6/12/2022,6,11,17,30,44,46,5
3/12/2022,2,15,31,34,38,41,21
1/12/2022,14,18,27,32,39,42,43
29/11/2022,12,18,22,28,31,40,7
26/11/2022,14,25,28,29,43,44,10
24/11/2022,3,12,14,19,25,28,11
22/11/2022,6,10,11,13,32,46,39
19/11/2022,6,11,27,39,46,47,15
17/11/2022,1,9,27,32,33,35,45
15/11/2022,17,18,32,38,44,49,19
13/11/2022,5,12,18,19,26,33,46
10/11/2022,11,12,14,18,29,30,31
8/11/2022,10,20,27,32,38,46,4
5/11/2022,7,11,22,23,28,32,29
3/11/2022,10,13,19,21,27,49,35
1/11/2022,2,12,14,32,41,46,20
29/10/2022,4,5,12,15,28,29,20
25/10/2022,27,28,30,34,35,48,11
22/10/2022,12,15,16,42,44,45,4
20/10/2022,20,24,27,31,32,49,36
18/10/2022,7,25,26,39,44,45,46
15/10/2022,18,21,25,28,38,44,45
13/10/2022,1,10,14,38,47,48,40
11/10/2022,1,5,10,25,36,47,23
8/10/2022,7,11,28,31,43,48,42
6/10/2022,4,11,21,28,31,47,5
4/10/2022,7,8,12,13,26,43,3
2/10/2022,1,7,11,24,27,38,17
29/9/2022,6,8,18,36,37,44,30
27/9/2022,2,18,29,30,32,47,46
24/9/2022,4,6,10,27,29,46,17
22/9/2022,8,11,31,32,33,36,46
20/9/2022,4,7,14,18,27,31,48
17/9/2022,5,17,22,24,34,38,13
15/9/2022,21,23,29,30,33,49,40
13/9/2022,2,4,20,38,40,46,11
8/9/2022,8,14,15,20,41,44,3
6/9/2022,14,22,35,37,42,46,24
3/9/2022,2,8,12,19,35,45,33
1/9/2022,23,24,30,31,45,46,26
30/8/2022,7,8,9,17,24,25,20
27/8/2022,12,22,34,35,39,45,7
25/8/2022,16,19,32,33,42,46,34
23/8/2022,4,8,9,10,30,42,22
20/8/2022,8,17,19,28,31,35,46
18/8/2022,2,8,19,21,24,47,4
16/8/2022,7,20,31,35,41,47,42
13/8/2022,6,22,25,33,38,47,10
11/8/2022,7,12,22,26,43,49,5
9/8/2022,1,12,25,28,36,46,13
4/8/2022,13,24,30,35,36,39,29
2/8/2022,4,8,9,11,42,46,47
30/7/2022,21,25,34,37,41,46,14
28/7/2022,8,13,16,21,23,49,44
26/7/2022,6,14,23,31,38,48,1
22/7/2022,5,12,21,30,34,38,3
15/7/2022,19,20,25,29,46,47,35
12/7/2022,4,13,22,27,43,47,23
8/7/2022,7,10,28,30,32,36,27
5/7/2022,9,30,31,32,37,40,25
3/7/2022,19,21,23,26,37,39,13
27/6/2022,1,13,19,26,29,37,15
21/6/2022,2,15,20,30,47,48,44
17/6/2022,9,17,24,27,33,39,48
14/6/2022,7,16,21,30,34,38,41
10/6/2022,11,17,24,26,37,41,34
7/6/2022,9,16,21,35,47,48,36
3/6/2022,1,27,32,35,38,44,24
31/5/2022,2,13,35,39,43,48,9
27/5/2022,1,17,25,29,42,46,8
24/5/2022,5,7,8,17,47,49,34
20/5/2022,27,30,36,38,45,46,34
17/5/2022,4,7,29,35,40,46,17
13/5/2022,1,5,10,22,30,34,42
10/5/2022,12,14,19,39,41,48,33
6/5/2022,2,15,41,42,44,46,40
3/5/2022,3,8,11,15,18,40,41
29/4/2022,1,7,16,28,31,48,18
26/4/2022,9,23,30,32,34,40,25
22/4/2022,8,11,15,19,34,37,25
19/4/2022,12,23,28,34,39,46,44
15/4/2022,21,25,30,36,37,47,42
12/4/2022,8,11,12,20,26,30,28
8/4/2022,10,20,36,38,43,48,30
5/4/2022,9,11,12,22,29,42,3
1/4/2022,4,8,21,40,46,49,34
29/3/2022,8,18,21,35,37,38,10
25/3/2022,15,20,26,28,29,46,12
22/3/2022,6,28,32,33,40,45,1
18/3/2022,12,18,22,30,40,49,15
15/3/2022,3,10,12,28,39,48,17
11/3/2022,11,20,23,29,38,47,12
8/3/2022,1,5,23,42,46,49,11
3/3/2022,12,19,21,22,40,43,46
24/2/2022,2,9,11,12,16,24,43
17/2/2022,6,7,22,34,35,46,8
10/2/2022,6,13,17,28,35,44,5
